slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-adenoid-hyperplasia,Adenoid Hyperplasia,,,unmatched,unmatched,,extracted-illness-scripts\is-adenoid-hyperplasia.html
is-adhesive-capsulitis,Adhesive Capsulitis,,,unmatched,unmatched,,extracted-illness-scripts\is-adhesive-capsulitis.html
is-age-related-purpura,Age-Related Purpura,,,unmatched,unmatched,,extracted-illness-scripts\is-age-related-purpura.html
is-agranulocytosis,Agranulocytosis,,,unmatched,unmatched,,extracted-illness-scripts\is-agranulocytosis.html
is-alcohol-abuse,Alcohol Abuse,,,unmatched,unmatched,,extracted-illness-scripts\is-alcohol-abuse.html
is-alcohol-and-drug-withdrawal,Alcohol and Drug Withdrawal,,,unmatched,unmatched,,extracted-illness-scripts\is-alcohol-and-drug-withdrawal.html
is-alcoholic-liver-disease,Alcoholic Liver Disease (ALD),Alcohol related liver disease,,condition,fuzzy:1.12,"Liver, pancreas, biliary system",extracted-illness-scripts\is-alcoholic-liver-disease.html
is-allergic-rhinitis,Allergic Rhinitis,,,unmatched,unmatched,,extracted-illness-scripts\is-allergic-rhinitis.html
is-alzheimers-disease,Alzheimer's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-alzheimers-disease.html
is-amaurosis-fugax,Amaurosis Fugax,,,unmatched,unmatched,,extracted-illness-scripts\is-amaurosis-fugax.html
is-anaemia-of-chronic-disease,Anaemia of Chronic Disease (ACD),Chronic kidney disease,,condition,fuzzy:1.16,Kidneys and urinary tract,extracted-illness-scripts\is-anaemia-of-chronic-disease.html
is-anaemia-sob,Anaemia (Shortness of Breath - SOB),Anaemia,,condition,fuzzy:1.25,Blood and lymph,extracted-illness-scripts\is-anaemia-sob.html
is-anaemia,Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-anaemia.html
is-anal-fissure,Anal Fissure,Anal fissure,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-anal-fissure.html
is-anaphylaxis,Anaphylaxis,Anaphylaxis,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-anaphylaxis.html
is-angina-old,Angina,,,unmatched,unmatched,,extracted-illness-scripts\is-angina-old.html
is-angina,Angina,,,unmatched,unmatched,,extracted-illness-scripts\is-angina.html
is-angiodysplasia,Angiodysplasia,,,unmatched,unmatched,,extracted-illness-scripts\is-angiodysplasia.html
is-ankle-or-foot-bone-fracture,Ankle or Foot Bone Fracture,,,unmatched,unmatched,,extracted-illness-scripts\is-ankle-or-foot-bone-fracture.html
